#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
sc4mclb;Monopoly Club (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
monopldx;Monopoly Deluxe (JPM) (Version 6) (SYSTEM5 VIDEO);mame;;1995;JPM;Quiz / Questions in English;1;0;lightgun;good;1;raster;;;1P;1;;;;
sc4mondx;Monopoly Deluxe (PR2202, MPDX 1.0) (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc4mdm;Monopoly Double Money (Bellfruit) (Scorpion 4) (set 1);mame;;200?;BFM;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mdm;Monopoly Double Money (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5mogta;Monopoly Go To Auction (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5_3512;Monopoly Gold (Bellfruit) (Scorpion 5);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc4mhn;Monopoly Here & Now (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mhn;Monopoly Here & Now (Mazooma) (Scorpion 5) (set 1);mame;;200?;Mazooma;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc4mhp;Monopoly Hot Property (Bellfruit) (Scorpion 4) (set 1);mame;;200?;BFM;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mhp;Monopoly Hot Property (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5momil;Monopoly Millionaire (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc4mmb;Monopoly Money Bags (Bellfruit) (Scorpion 4) (set 1);mame;;200?;BFM;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mmb;Monopoly Money Bags (PR3413) (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5mombc;Monopoly Money Bags Club (PR1945) (BFM) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5moms;Monopoly Money Spinner (PR2496) (Qps) (Scorpion 5) (set 1);mame;;200?;Qps;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5mopl;Monopoly Property Ladder (Bellfruit) (Scorpion 5) (set 1);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc4mrh;Monopoly Red Hot (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mrh;Monopoly Red Hot (Mazooma) (Scorpion 5) (set 1);mame;;200?;Mazooma;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
ad5mr2r;Monopoly Road To Riches (Mazooma) (Adder 5) (set 1);mame;;200?;Mazooma;Slot Machine / Video Slot;0;;;preliminary;0;;;;???;;;;;
sc4mr2r;Monopoly Road To Riches (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mr2r;Monopoly Road To Riches (PR2329) (Mazooma) (Scorpion 5) (set 1);mame;;200?;Mazooma;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5mor2r;Monopoly Road To Riches (Qps) (Scorpion 5) (set 1);mame;;200?;Qps;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5mrrcl;Monopoly Road To Riches Club (Mazooma) (Scorpion 5) (set 1);mame;;200?;Mazooma;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5_3435;Monopoly Street Party (Scorpion 5);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5_3434;Monopoly Takeover (Scorpion 5);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
monomedal;Monopoly the Medal 2nd Edition (MDA-C0056A);mame;;2008;Sega;Medal Game / Misc.;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;segasp;;chd;3;;;;
sc4monoa;Monopoly Triple (PR2122, MOTR) (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc4monot;Monopoly TTT (PR2133) (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc4mowow;Monopoly Wheel Of Wealth (Mazooma) (PR2118) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc4mwwtb;Monopoly Wheel Of Wealth (Mazooma) (PR2389, Top Box) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
sc5mowow;Monopoly Wheel Of Wealth (Mazooma) (Scorpion 5) (set 1);mame;;200?;Mazooma;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
ad5mowow;Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 1);mame;;200?;Mazooma;Slot Machine / Video Slot;0;;;preliminary;0;;;;???;;;;;
sc5monwa;Monopoly Win Again (Qps) (Scorpion 5) (set 1);mame;;200?;Qps;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5mww;Monopoly Wonders Of The World (Mazooma) (Scorpion 5) (set 1);mame;;200?;Mazooma;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
macha;Monoshiri Quiz Oshaberi Macha (Japan);mame;;1983;Logitec;Quiz / Questions in Japanese;1;0;only_buttons;good;1;raster;;;1P;3;;;;
monsterb;Monster Bash;mame;;1982;Sega;Platform / Shooter;2;270;joystick (4-way),joystick (4-way);imperfect;1;raster;;;2P alt;1;;;;
mb_10;Monster Bash (1.0);mame;;1998;Williams;Electromechanical / Pinball;1;0;keypad;preliminary;1;lcd;;;Pinball;68;;;;
m1monstr;Monster Cash (Maygay) (M1A/B) (set 1);mame;;199?;Maygay;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;6;;;;
j6monst;Monster Cash Club (Crystal) (IMPACT) (set 1);mame;;199?;Crystal;Slot Machine / Reels;1;;;preliminary;0;;;;???;;;;;
mfjump;Monster Farm Jump (Japan);mame;;2001;Tecmo;Platform / Run Jump;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;;2P sim;3;;;;
mmaulers;Monster Maulers (ver EAA);mame;;1993;Konami;Fighter / Versus Co-op;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;3;;;;
mslider;Monster Slider (Japan);mame;;1997;Visco / Datt Japan;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
monsterz;Monster Zero (set 1);mame;;1982;Nihon Game;Shooter / Gallery;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;1;;;;
mstworld;Monsters World (bootleg of Super Pang);mame;;1994;bootleg (TCH);Shooter / 3rd Person;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;3;;;;
montana;Montana Bingo Stake 6/10 (Bingo);mame;;19??;Splin;Electromechanical / Bingo;0;;;preliminary;0;;;;???;;;;;
pemg0025;Montana Choice (MG0025) Multi-Game;mame;;1994;IGT - International Game Technology;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;???;7;;;;
pemg0026;Montana Choice (MG0026) Multi-Game;mame;;1994;IGT - International Game Technology;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;???;7;;;;
pemg0182;Montana Choice (MG0182) Multi-Game;mame;;1994;IGT - International Game Technology;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;???;7;;;;
pemg0183;Montana Choice (MG0183) Multi-Game;mame;;1994;IGT - International Game Technology;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;1P;7;;;;
pemg0225;Montana Choice (MG0225) Multi-Game;mame;;1994;IGT - International Game Technology;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;???;7;;;;
mosdraw;Montana Super Draw (4436-05, U5-0);mame;;1990;Merit;Gambling / Cards;1;0;gambling;imperfect;1;raster;;;1P;10;;;;
montecar;Monte Carlo;mame;;1979;Atari;Driving / Race;1;270;dial;good;1;raster;;;1P;6;;;;
m4monte;Monte Carlo (NM8 0.1 B) (Barcrest) (MPU4);mame;;199?;Barcrest;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
mntecrlo;Monte Carlo (Pinball);mame;;1987;Gottlieb;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;60;;;;
v4monte;Monte Carlo Or Bust (BWB) (Release D, S/Site Standard, 20p Switchable, £8 All Cash) (MPU4 Video);mame;;199?;BWB;Gambling / Misc.;1;0;only_buttons;preliminary;1;raster;;;???;7;;;;
ep_monbs;Monte Carlo Or Bust (Maygay) (EPOCH) (1.2, set 1);mame;;199?;Maygay;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
ad5mcob;Monte Carlo Or Bust (Qps) (Adder 5) (set 1);mame;;200?;Qps;Slot Machine / Video Slot;0;;;preliminary;0;;;;???;;;;;
sc5cmcob;Monte Carlo Or Bust Club (Qps) (Scorpion 5) (set 1);mame;;200?;Qps;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc4mont;Montego Pay (Qps) (Scorpion 4) (set 1);mame;;200?;Qps;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
monty;Monty Plays Scrabble;mame;;1983;Ritam;Handheld / Electronic Game;1;0;keyboard;good;1;lcd;;;Non-arcade;30;;;;
m5monty;Monty Python (Barcrest) (MPU5);mame;;199?;Barcrest;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
m5mprio;Monty Python Rio (Barcrest) (MPU5);mame;;199?;Barcrest;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
m5mpfc;Monty Python's Flying Circus (Barcrest) (MPU5);mame;;199?;Barcrest;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
m5mpfccl;Monty Python's Flying Circus Club (Barcrest) (MPU5);mame;;199?;Barcrest;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
monzagp;Monza GP (set 1);mame;;1981;Olympia;Driving / Race;1;270;joystick (2-way);preliminary;1;raster;;;???;2;;;;
moogsource;Moog Source;mame;;1981;Moog Music;Musical Instrument Accessory / Monophonic Analog Synthesizernalog;1;;positional;preliminary;0;;;;Non-arcade;;;;;
moonal2;Moon Alien Part 2;mame;;1980;Namco / Nichibutsu;Shooter / Gallery;2;90;joystick (2-way),joystick (2-way);good;1;raster;;;2P alt;1;;;;
mooncrst;Moon Cresta (Nichibutsu);mame;;1980;Nichibutsu;Shooter / Gallery;2;90;joystick (2-way),joystick (2-way);good;1;raster;;;2P alt;1;;;;
pinmoonl;Moon Light (Inder);mame;;1987;Inder;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;37;;;;
sc1moonl;Moon Lite (Bwb);mame;;199?;Bwb;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;15;;;;
mpatrol;Moon Patrol;mame;;1982;Irem;Shooter / Driving Horizontal;2;0;joystick (2-way),joystick (2-way);good;1;raster;;;2P alt;2;;;;
moonqsr;Moon Quasar;mame;;1980;Nichibutsu;Shooter / Gallery;2;90;joystick (2-way),joystick (2-way);good;1;raster;;;2P alt;1;;;;
mraker;Moon Raker;mame;;1980;Nichibutsu;Shooter / Gallery;2;270;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;2;;;;
mshuttle;Moon Shuttle (US? set 1);mame;;1981;Nichibutsu;Shooter / Flying Horizontal;2;0;joystick (5 (half8)-way),joystick (5 (half8)-way);good;1;raster;;;2P alt;1;;;;
moonwarp;Moon War (prototype on Frenzy hardware);mame;;1981;Stern Electronics;Shooter / Flying;2;0;dial,dial;good;1;raster;;;2P alt;4;;;;
moonwalt;Moonlight Waltz (10227611, NSW/ACT);mame;;2007;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
mquake;Moonquake;mame;;1987;Sente;Maze / Misc.;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;???;1;;;;
moonwar;Moonwar;mame;;1981;Stern Electronics;Shooter / Flying;2;90;dial,dial;good;1;raster;;;2P alt;4;;;;
mchilli;More Chilli (20248711, NSW/ACT);mame;;2008;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
m3mremon;More Money (VFS) (MPU3);mame;;198?;VFS;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;6;;;;
moremore;More More;mame;;1999;SemiCom / Exit;Multiplay / Mini-Games;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
moremorp;More More Plus;mame;;1999;SemiCom / Exit;Multiplay / Mini-Games;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
quizhuhu;Moriguchi Hiroko no Quiz de Hyuu!Hyuu! (Ver 2.2J 1995/05/25);mame;;1995;Taito Corporation;Quiz / Questions in Japanese;4;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;4;;;;
jak_mk;Mortal Kombat (JAKKS Pacific TV Game);mame;;2004;JAKKS Pacific Inc / Digital Eclipse;Handheld / Plug n' Play TV Game / Fighting;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;7;;;;
tmkombat;Mortal Kombat (Tiger);mame;;1993;Tiger Electronics;Handheld / Electronic Game;1;0;joystick (8-way);good;1;svg;;;Non-arcade;4;;;;
mk3;Mortal Kombat 3 (rev 2.1);mame;;1994;Midway;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;6;;;;
mk3mdb;Mortal Kombat 3 (scrambled bootleg of Mega Drive version);mame;;1996;bootleg / Midway;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;6;;;;
mk3snes;Mortal Kombat 3 (SNES bootleg with timer);mame;;199?;bootleg;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;2P sim;6;;;;
mk4;Mortal Kombat 4 (version 3.0);mame;;1997;Midway;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;6;;;;
mortalr;Mortal Race;mame;;1995;New Dream Games;Driving / Race;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;3;;;;
ep_mwom;Mortal Wombat (Maygay) (EPOCH) (set 1);mame;;199?;Maygay;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
mosaic;Mosaic;mame;;1990;Space;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
mosaicf2;Mosaic (F2 System);mame;;1999;F2 System;Puzzle / Reconstruction * Mature *;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
tamamot;Mothra no Tamagotchi (Japan);mame;;1997;Bandai;Handheld / Virtual Pet Toy;1;0;only_buttons;good;1;svg;;;Non-arcade;3;;;;
motofren;Moto Frenzy;mame;;1992;Atari Games;Driving / Motorbike;1;0;joystick (analog),pedal;good;1;raster;;;1P;4;;;;
motoxgo;Motocross Go! (World, MG3 Ver. A);mame;;1997;Namco;Driving / Motorbike;2;0;joystick (vertical2-way),joystick (analog),pedal,joystick (vertical2-way);preliminary;1;raster;;;1P;4;;;;
motogonki;Motogonki;mame;;198?;Terminal;Driving / Motorbike;1;0;joystick (8-way);preliminary;1;raster;;;???;5;;;;
motogp;MotoGP (MGP1004-NA-B);mame;;2007;Namco;Driving / Motorbike;0;0;;preliminary;1;raster;sys256;;1P;;;;;
motoraid;Motor Raid - Twin;mame;;1997;Sega;Driving / Motorbike;1;0;paddle,pedal;imperfect;1;raster;;;1P;2;;;;
motrshow;Motor Show (set 1);mame;;1989;Zaccaria / Mr Game;Electromechanical / Pinball;1;0;keypad;preliminary;1;raster;;;Pinball;48;;;;
wfmotor;Motorcycle 30-in-1;mame;;200?;WinFun / JungleTac;Handheld / Plug n' Play TV Game / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
motrdome;MotorDome (rev. D);mame;;1986;Bally;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;46;;;;
sc4motor;Motorway Mania (Bellfruit) (Scorpion 4) (set 1);mame;;200?;BFM;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
motos;Motos;mame;;1985;Namco;Puzzle / Misc.;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
mouja;Mouja (Japan);mame;;1996;Etona;Puzzle / Drop;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
mountmon;Mountain Money (0100294V, NSW/ACT);mame;;1996;Aristocrat;Slot Machine / Video Slot;1;0;keypad,gambling;imperfect;1;raster;aristmk5;;1P;15;;;;
mouseatk;Mouse Attack;mame;;1996;ICE;Fighter / Field;1;0;only_buttons;good;1;raster;;;1P;1;;;;
dinopc;Mouse de Battle!! Kyouryuu Zukan PC (Japan);mame;;2020;Sega Toys;Handheld / Child Computer;0;0;;preliminary;1;raster;;;;;;;;
sumikpc;Mouse de Kisekae! Sumikko Gurashi PC (Japan);mame;;2019;Sega Toys;Computer / Child Computer;0;0;;preliminary;1;raster;;;;;;;;
sumikpcp;Mouse de Kisekae! Sumikko Gurashi PC Plus (Japan);mame;;2019;Sega Toys;Computer / Child Computer;0;0;;preliminary;1;raster;;;;;;;;
sumipc21;Mouse de Kisekae! Sumikko Gurashi Premium Plus (Japan);mame;;2021;Sega Toys;Computer / Child Computer;0;0;;preliminary;1;raster;;;;;;;;
msgogo;Mouse Shooter GoGo;mame;;1995;Metro;Puzzle / Toss;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;2;;;;
mtrap;Mouse Trap (version 5);mame;;1981;Exidy;Maze / Collect;1;0;joystick (4-way);good;1;raster;;;2P alt;4;;;;
mouser;Mouser;mame;;1983;UPL;Platform / Run Jump;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;1;;;;
mousn_l4;Mousin' Around! (LA-4);mame;;1989;Bally;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;64;;;;
sc4mou;Move On Up (Qps) (Scorpion 4) (set 1);mame;;200?;Qps;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
moviecrd;Movie Card;mame;;1998;Golden Games / C+M Technics AG;Gambling / Cards;1;0;;preliminary;1;raster;;;???;;;;;
j5movie;Movie Magic Club (Crystal) (SYSTEM5);mame;;199?;Crystal;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;14;;;;
movmastr;Movie Masters;mame;;19??;Jac Van Ham (Royal);Electromechanical / Pinball;0;;;preliminary;0;;;;Pinball;;;;;
tiktokmm;Moving Music (MM-TV110);mame;;200?;TikTokTech Ltd. / 3T Games / Senario;Handheld / Plug n' Play TV Game / Music;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
mp68a;mp68a;mame;;1979;Didact AB;Computer / Single Board;1;;keyboard;good;0;;;;Non-arcade;18;;;;
mpc2000xl;MPC 2000XL;mame;;1994;Akai / Roger Linn;Musical Instrument / Digital Sampler;1;0;dial,keyboard;preliminary;1;lcd;;;;62;;;;
mpc10;MPC-10 / Wavy10 (MSX1, Japan);mame;;1983;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc100;MPC-100 (MSX1, UK);mame;;1985;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc200;MPC-200 (MSX1, UK);mame;;1985;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc2300;MPC-2300 (MSX2, USSR);mame;;1987;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc2500f;MPC-2500FD (MSX2, USSR);mame;;1987;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc25fd;MPC-25FD (MSX2, Japan);mame;;1985;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc25fs;MPC-25FS (MSX2, Japan);mame;;1985;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc27;MPC-27 (MSX2, Japan);mame;;1985;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);preliminary;1;raster;;;Non-arcade;2;;;;
mpc64;MPC-64 (MSX1, Germany);mame;;1985;Sanyo;Computer / Home System;2;0;joystick (8-way),keyboard,joystick (8-way);good;1;raster;;;Non-arcade;2;;;;
mpc3000;MPC3000;mame;;1994;Akai / Roger Linn;Musical Instrument / Audio Sequencer;1;0;dial,keyboard;preliminary;1;lcd;;;Non-arcade;73;;;;
mpc60;MPC60 MIDI Production Center;mame;;1987;Akai Electric;Musical Instrument / Sequencer;1;0;dial,keyboard;preliminary;1;lcd;;;Non-arcade;72;;;;
j2tst;MPS 1 Test Rom (JPM) (MPS);mame;;198?;JPM;Electromechanical / Utilities;0;;;preliminary;0;;;;???;;;;;
mps1000;MPS-1000 Printer;mame;;1986;Commodore Business Machines;Printer / Matrix Printer;0;;;preliminary;0;;;;Non-arcade;;;;;
mps1230;MPS-1230 NLQ Printer;mame;;1988;Commodore Business Machines;Printer / Matrix Printer;0;;;preliminary;0;;;;Non-arcade;;;;;
mps65;MPS-65;mame;;1984;Thaler;Computer / Training Board;1;;keyboard;good;0;;;;Non-arcade;24;;;;
mptschf2;mptschf2;mame;;;;;;;;;;;;;;;;;;
m5clr;MPU 5 Ram & Meter Clear (Barcrest) (MPU5);mame;;199?;Barcrest;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
m5tst;MPU 5 Test Rom (Barcrest) (MPU5);mame;;199?;Barcrest;Electromechanical / Utilities;0;;;preliminary;0;;;;???;;;;;
imsai;MPU-B;mame;;1978;Imsai;Computer / Single Board;1;0;keyboard;preliminary;1;raster;;;Non-arcade;73;;;;
m3tst;MPU3 Unit Test (Program 5) (Barcrest) (MPU3);mame;;198?;Barcrest;Electromechanical / Utilities;1;;only_buttons;preliminary;0;;;;???;6;;;;
m4clr;MPU4 Meter Clear ROM;mame;;198?;Barcrest;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;1P;7;;;;
m4rltst;MPU4 Reel Test (3.0);mame;;198?;Barcrest;Electromechanical / Utilities;1;;only_buttons;preliminary;0;;;;1P;7;;;;
m4tst2;MPU4 Unit Test (Program 2);mame;;198?;Barcrest;Electromechanical / Utilities;1;;only_buttons;preliminary;0;;;;1P;7;;;;
m4tst;MPU4 Unit Test (Program 4);mame;;198?;Barcrest;Electromechanical / Utilities;1;;only_buttons;preliminary;0;;;;1P;7;;;;
mpz80;MPZ80;mame;;1980;Morrow Designs;Computer / Single Board;1;0;keyboard;preliminary;1;raster;;;Non-arcade;73;;;;
ep_mrmus;Mr Muscle (Maygay) (EPOCH) (1.2, set 1);mame;;199?;Maygay;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
mrwoo;Mr Woo (30215311, NSW/ACT);mame;;2006;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
mr61;MR-61 Workstation;mame;;1996;Ensoniq;Musical Instrument / Synthesizer;1;;paddle,keypad;preliminary;0;;;;Non-arcade;66;;;;
mrrack;MR-Rack;mame;;1996;Ensoniq;Musical Instrument / Synthesizer;1;;paddle,keypad;preliminary;0;;;;Non-arcade;66;;;;
pecmen;Mr. & Mrs. Pec-Men;mame;;1981;LTD;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;45;;;;
m_mpac;Mr. and Mrs. PacMan (set 1);mame;;1982;Bally;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;33;;;;
mrblack;Mr. Black (set 1);mame;;1984;Taito do Brasil;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;44;;;;
mrchalgr;Mr. Challenger (US);mame;;1979;Texas Instruments;Misc. / Educational Game;1;;keyboard;good;0;;;;Non-arcade;38;;;;
mrdig;Mr. Dig;mame;;2000;Sun;Puzzle / Misc.;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;1P;4;;;;
mrdo;Mr. Do!;mame;;1982;Universal;Maze / Digging;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
docastle;Mr. Do's Castle (set 1);mame;;1983;Universal;Platform / Run Jump;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;2;;;;
dowild;Mr. Do's Wild Ride;mame;;1984;Universal;Platform / Run Jump;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;2;;;;
r_mrdoom;Mr. Doom;mame;;1979;Recel;Electromechanical / Pinball;1;;keypad;preliminary;0;;recel;;Pinball;40;;;;
mrdrillr;Mr. Driller (US, DRI3/VER.A2);mame;;1999;Namco;Puzzle / Misc.;2;0;joystick (4-way),joystick (4-way);imperfect;1;raster;;;1P;1;;;;
mrdrilr2;Mr. Driller 2 (World, DR22 Ver.A);mame;;2000;Namco;Puzzle / Misc.;2;0;joystick (4-way),joystick (4-way);imperfect;1;raster;;;2P sim;6;;;;
mrdrilrg;Mr. Driller G (Japan, DRG1 Ver.A);mame;;2001;Namco;Puzzle / Misc.;2;0;joystick (4-way),joystick (4-way);imperfect;1;raster;;;2P sim;6;;;;
r_mrevil;Mr. Evil;mame;;1978;Recel;Electromechanical / Pinball;1;;keypad;preliminary;0;;recel;;Pinball;40;;;;
mrgoemon;Mr. Goemon (Japan);mame;;1986;Konami;Platform / Fighter Scrolling;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
mrjong;Mr. Jong (Japan);mame;;1983;Kiwako;Puzzle / Maze;2;90;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
mrkicker;Mr. Kicker (F-E1-16-010 PCB);mame;;2001;SemiCom;Maze / Collect;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;4;;;;
mrkougar;Mr. Kougar;mame;;1984;ATW;Platform / Run Jump;2;90;joystick (2-way),joystick (2-way);good;1;raster;;;2P alt;1;;;;
hb_mrmon;Mr. Money (Qps) (set 1);mame;;200?;Qps;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
